Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,CN,2,2016,50,M,false,JMC,SEPTEMBER,2021,Lecture 5
1,CN,2,2016,50,M,false,Python,MARCH,2017,Lecture 7
2,AU,5,2017,33,M,false,JMC,MAY,2018,Lecture 12
2,AU,5,2017,33,M,false,Python,OCTOBER,2020,Lecture 5
3,US,5,2015,19,M,false,JMC,APRIL,2022,Lecture 4
3,US,5,2015,19,M,false,Python,FEBRUARY,2015,Lecture 10
4,GB,7,2019,59,U,false,JMC,JULY,2025,Lecture 7
4,GB,7,2019,59,U,false,Python,SEPTEMBER,2025,Lecture 10
5,CN,1,2019,41,U,false,JMC,MARCH,2022,Lecture 9
5,CN,1,2019,41,U,false,Python,FEBRUARY,2025,Lecture 2
6,IN,4,2024,45,U,true,JMC,MARCH,2025,Lecture 1
6,IN,4,2024,45,U,true,Python,AUGUST,2024,Lecture 11
7,CN,7,2024,59,F,false,JMC,AUGUST,2024,Lecture 8
7,CN,7,2024,59,F,false,Python,AUGUST,2024,Lecture 4
8,GB,2,2018,59,M,false,JMC,SEPTEMBER,2022,Lecture 2
8,GB,2,2018,59,M,false,Python,JULY,2023,Lecture 7
9,US,9,2017,50,F,false,JMC,NOVEMBER,2020,Lecture 10
9,US,9,2017,50,F,false,Python,JANUARY,2019,Lecture 7
10,GB,11,2025,38,M,true,JMC,APRIL,2025,Lecture 1
10,GB,11,2025,38,M,true,Python,AUGUST,2025,Lecture 1
11,CN,5,2017,38,U,false,JMC,FEBRUARY,2022,Lecture 6
11,CN,5,2017,38,U,false,Python,JULY,2024,Lecture 9
12,CN,12,2015,24,U,false,JMC,JUNE,2025,Lecture 7
12,CN,12,2015,24,U,false,Python,JULY,2023,Lecture 4
13,IN,5,2017,73,M,false,JMC,DECEMBER,2021,Lecture 6
13,IN,5,2017,73,M,false,Python,DECEMBER,2025,Lecture 2
14,AU,7,2024,24,U,false,JMC,NOVEMBER,2025,Lecture 6
14,AU,7,2024,24,U,false,Python,FEBRUARY,2025,Lecture 1
15,CN,4,2021,40,M,false,JMC,MARCH,2025,Lecture 2
15,CN,4,2021,40,M,false,Python,DECEMBER,2023,Lecture 1
16,US,12,2021,68,M,true,JMC,JULY,2025,Lecture 6
16,US,12,2021,68,M,true,Python,AUGUST,2025,Lecture 9
17,US,7,2025,70,F,true,JMC,SEPTEMBER,2025,Lecture 2
17,US,7,2025,70,F,true,Python,JANUARY,2025,Lecture 6
18,IN,11,2023,29,U,true,JMC,MAY,2024,Lecture 8
18,IN,11,2023,29,U,true,Python,JULY,2024,Lecture 8
19,IN,9,2024,73,M,true,JMC,MARCH,2024,Lecture 6
19,IN,9,2024,73,M,true,Python,NOVEMBER,2024,Lecture 3
20,IN,2,2022,54,M,true,JMC,APRIL,2024,Lecture 5
20,IN,2,2022,54,M,true,Python,MARCH,2025,Lecture 6
21,AU,4,2016,63,M,true,JMC,JUNE,2016,Lecture 13
21,AU,4,2016,63,M,true,Python,JUNE,2023,Lecture 4
22,CN,9,2017,68,F,false,JMC,MAY,2022,Lecture 3
22,CN,9,2017,68,F,false,Python,JUNE,2017,Lecture 13
23,AU,11,2016,79,F,true,JMC,MAY,2024,Lecture 1
23,AU,11,2016,79,F,true,Python,JANUARY,2018,Lecture 5
24,IN,8,2020,18,U,true,JMC,NOVEMBER,2021,Lecture 8
24,IN,8,2020,18,U,true,Python,JANUARY,2020,Lecture 14
25,GB,11,2024,78,F,true,JMC,APRIL,2024,Lecture 6
25,GB,11,2024,78,F,true,Python,JANUARY,2025,Lecture 3
